sample_id,outer_resonator_width,middle_resonator_width,adjacent_coupling_gap,cross_coupling_gap,feed_offset
sample_0235,12.2,22.95,0.5499999999999999,1.8,4.449999999999999
sample_0236,12.2,23.0,0.4,1.9000000000000001,4.55
sample_0237,12.2,23.0,0.4,1.9000000000000001,4.6
sample_0238,12.2,23.0,0.49999999999999994,1.75,4.55
sample_0239,12.2,23.0,0.49999999999999994,1.9000000000000001,4.55
sample_0240,12.2,23.0,0.6,1.75,4.6
sample_0241,12.2,23.0,0.6,1.85,4.699999999999999
sample_0242,12.2,23.1,0.44999999999999996,1.75,4.75
sample_0243,12.2,23.1,0.6,1.85,4.55
sample_0244,12.2,23.15,0.5499999999999999,1.85,4.5
sample_0245,12.2,23.15,0.6,1.8,4.5
sample_0246,12.2,23.25,0.4,1.9000000000000001,4.5
sample_0247,12.2,23.25,0.44999999999999996,1.9500000000000002,4.6
sample_0248,12.2,23.25,0.44999999999999996,1.9500000000000002,4.699999999999999
sample_0249,12.2,23.25,0.49999999999999994,1.7,4.699999999999999
sample_0250,12.2,23.3,0.4,1.75,4.699999999999999
sample_0251,12.2,23.3,0.4,1.85,4.449999999999999
sample_0252,12.2,23.3,0.4,1.9500000000000002,4.6499999999999995
sample_0253,12.2,23.3,0.49999999999999994,1.75,4.449999999999999
sample_0254,12.2,23.3,0.49999999999999994,1.8,4.6499999999999995
sample_0255,12.2,23.3,0.6,1.8,4.6499999999999995
sample_0256,12.2,23.3,0.6,1.9000000000000001,4.5
sample_0257,12.25,22.8,0.6,1.75,4.699999999999999
sample_0258,12.25,22.85,0.4,1.85,4.75
sample_0259,12.25,22.85,0.4,1.9500000000000002,4.55
sample_0260,12.25,22.85,0.5499999999999999,1.8,4.55
sample_0261,12.25,22.85,0.6,1.9000000000000001,4.6499999999999995
sample_0262,12.25,22.9,0.44999999999999996,1.7,4.699999999999999
sample_0263,12.25,22.9,0.49999999999999994,1.9500000000000002,4.5
sample_0264,12.25,22.9,0.49999999999999994,1.9500000000000002,4.55
sample_0265,12.25,22.9,0.5499999999999999,1.9500000000000002,4.6
sample_0266,12.25,22.95,0.4,1.7,4.699999999999999
sample_0267,12.25,22.95,0.44999999999999996,1.8,4.5
sample_0268,12.25,22.95,0.44999999999999996,1.9000000000000001,4.6
sample_0269,12.25,22.95,0.49999999999999994,1.9000000000000001,4.6
sample_0270,12.25,22.95,0.5499999999999999,1.8,4.75
sample_0271,12.25,22.95,0.6,1.9500000000000002,4.75
sample_0272,12.25,23.0,0.4,1.9000000000000001,4.6
